iter	RMSE
0	4480.537705
1	4342.095643
2	4210.291054
3	4082.424975
4	3960.517757
5	3849.001795
6	3743.772476
7	3645.866179
8	3555.602183
9	3468.123506
10	3384.712131
11	3307.416866
12	3237.292946
13	3170.742916
14	3105.93149
15	3047.484901
16	2991.482169
17	2939.118928
18	2888.866098
19	2841.958692
20	2797.589735
21	2757.21605
22	2719.198787
23	2682.838187
24	2649.381875
25	2616.121464
26	2585.754328
27	2556.798759
28	2529.813516
29	2503.123272
30	2478.415563
31	2455.562565
32	2433.55155
33	2413.042796
34	2393.973078
35	2375.404868
36	2358.911941
37	2343.134914
38	2326.844578
39	2312.453983
40	2299.41025
41	2285.727979
42	2273.604213
43	2261.476886
44	2249.237695
45	2237.663476
46	2224.63304
47	2214.040031
48	2203.147221
49	2192.705693
50	2182.625182
51	2173.531412
52	2165.530345
53	2156.672504
54	2149.143959
55	2141.368904
56	2133.785745
57	2126.312943
58	2118.908472
59	2112.252435
60	2103.943589
61	2097.813091
62	2091.248528
63	2084.692151
64	2079.359234
65	2072.896504
66	2067.688986
67	2062.383291
68	2055.658928
69	2051.274031
70	2046.508111
71	2041.946407
72	2036.995729
73	2033.069546
74	2029.302075
75	2025.250898
76	2021.681065
77	2017.913213
78	2013.961252
79	2010.029238
80	2006.624156
81	2002.300237
82	1999.511468
83	1995.803401
84	1993.099783
85	1989.853431
86	1986.400221
87	1983.464081
88	1980.794141
89	1977.953743
90	1975.721346
91	1973.636223
92	1970.79699
93	1967.629661
94	1964.682374
95	1961.523338
96	1958.635632
97	1955.112762
98	1952.449332
99	1949.918017
100	1947.350506
101	1945.376093
102	1943.39099
103	1941.389641
104	1939.134589
105	1937.019581
106	1935.406001
107	1932.323851
108	1930.709142
109	1928.133226
110	1926.243979
111	1924.465646
112	1922.759801
113	1921.388469
114	1919.264631
115	1917.370484
116	1915.532591
117	1913.375898
118	1911.830927
119	1910.521977
120	1908.459017
121	1907.308365
122	1905.958452
123	1904.575631
124	1902.712585
125	1899.961915
126	1898.689287
127	1897.276342
128	1895.906926
129	1894.798477
130	1893.31448
131	1892.01063
132	1890.695235
133	1889.639978
134	1887.507721
135	1886.277146
136	1884.99474
137	1883.799107
138	1882.932294
139	1881.947505
140	1880.888464
141	1879.279181
142	1878.142051
143	1876.882158
144	1875.134153
145	1874.09693
146	1873.131673
147	1872.233129
148	1870.261122
149	1869.140914
150	1868.485972
151	1867.040995
152	1866.08304
153	1865.433624
154	1864.25639
155	1863.269904
156	1862.402479
157	1861.630915
158	1860.722539
159	1860.055581
160	1859.255417
161	1858.237796
162	1857.24339
163	1855.806492
164	1854.665844
165	1853.583603
166	1852.523261
167	1851.839727
168	1850.67392
169	1849.599133
170	1848.565347
171	1847.432835
172	1846.918961
173	1845.939701
174	1845.329431
175	1844.552794
176	1843.357599
177	1842.444085
178	1841.663323
179	1840.252089
180	1839.570804
181	1838.682028
182	1837.406514
183	1836.480574
184	1835.813056
185	1835.022521
186	1834.046641
187	1833.189611
188	1832.560218
189	1832.038296
190	1831.079075
191	1830.593109
192	1830.072113
193	1829.428668
194	1828.837787
195	1827.919384
196	1826.98226
197	1826.367213
198	1825.549268
199	1824.83065
200	1823.996209
201	1823.580171
202	1822.634101
203	1822.148853
204	1821.610181
205	1821.081662
206	1820.299934
207	1819.310594
208	1818.60366
209	1817.827605
210	1817.112614
211	1816.255712
212	1815.075939
213	1814.676706
214	1813.258945
215	1812.462788
216	1812.021572
217	1811.141345
218	1810.675549
219	1810.019553
220	1809.636211
221	1808.978275
222	1808.333619
223	1807.694697
224	1806.861859
225	1806.100937
226	1805.34347
227	1804.598154
228	1803.922894
229	1803.280541
230	1802.780028
231	1802.070712
232	1801.680164
233	1801.180002
234	1800.352425
235	1799.899432
236	1799.183967
237	1798.752891
238	1798.260116
239	1797.87082
240	1797.076234
241	1796.569815
242	1796.177577
243	1795.180025
244	1794.461287
245	1793.846822
246	1793.404338
247	1793.015171
248	1792.594259
249	1792.012691
250	1791.481268
251	1790.944801
252	1790.606326
253	1790.165548
254	1789.564535
255	1789.043634
256	1788.644308
257	1788.273317
258	1787.57626
259	1786.693787
260	1786.087091
261	1785.662073
262	1784.849358
263	1784.587364
264	1784.028658
265	1783.285427
266	1782.78977
267	1782.438933
268	1781.724123
269	1781.399112
270	1780.64588
271	1780.119094
272	1779.428654
273	1778.79775
274	1778.441871
275	1778.040366
276	1777.297343
277	1776.934358
278	1776.382423
279	1775.829476
280	1775.498884
281	1774.994097
282	1774.66204
283	1774.163162
284	1773.62452
285	1772.874203
286	1772.57728
287	1772.163571
288	1771.647989
289	1771.357592
290	1770.97198
291	1770.415327
292	1770.048176
293	1769.523806
294	1769.109965
295	1768.657591
296	1768.298147
297	1767.668887
298	1767.192119
299	1766.680576
300	1766.377036
301	1765.875892
302	1765.412812
303	1765.093912
304	1764.648481
305	1763.99469
306	1763.659168
307	1763.38095
308	1762.992142
309	1762.640434
310	1762.22523
311	1761.823183
312	1761.36285
313	1760.991695
314	1760.515309
315	1759.672753
316	1759.221536
317	1758.652665
318	1758.179626
319	1757.850417
320	1757.462032
321	1757.20567
322	1756.949177
323	1756.696751
324	1756.448731
325	1755.95518
326	1755.70486
327	1755.231324
328	1754.810526
329	1754.286497
330	1753.810444
331	1753.281134
332	1752.894054
333	1752.599825
334	1752.169666
335	1751.829201
336	1751.443094
337	1750.904355
338	1750.567846
339	1750.105643
340	1749.833546
341	1749.396552
342	1748.874083
343	1748.684129
344	1748.3854
345	1748.059948
346	1747.712861
347	1747.373249
348	1746.997589
349	1746.789722
350	1746.600545
351	1746.274819
352	1745.75893
353	1745.352212
354	1745.044212
355	1744.520701
356	1744.309331
357	1743.921072
358	1743.660398
359	1743.389318
360	1742.74209
361	1742.494044
362	1742.22347
363	1741.903873
364	1741.650108
365	1741.325326
366	1740.996283
367	1740.718518
368	1740.364561
369	1739.807937
370	1739.324795
371	1738.967296
372	1738.721604
373	1738.430608
374	1738.169999
375	1737.860299
376	1737.572843
377	1737.30098
378	1736.815081
379	1736.277955
380	1736.065374
381	1735.631344
382	1735.262496
383	1735.006971
384	1734.609978
385	1734.232343
386	1733.881339
387	1733.607563
388	1733.354128
389	1732.806791
390	1732.375251
391	1732.114281
392	1731.795386
393	1731.590687
394	1731.338581
395	1730.890087
396	1730.540188
397	1730.195396
398	1729.87744
399	1729.575982
400	1729.295867
401	1728.576566
402	1728.329794
403	1727.999892
404	1727.726306
405	1727.4433
406	1727.201109
407	1726.941797
408	1726.623642
409	1726.115278
410	1725.710745
411	1725.30334
412	1725.01973
413	1724.5744
414	1724.394695
415	1724.132388
416	1723.785273
417	1723.161044
418	1722.921738
419	1722.707117
420	1722.202705
421	1721.671969
422	1721.35166
423	1721.00164
424	1720.639722
425	1720.478364
426	1720.176185
427	1719.854577
428	1719.613201
429	1719.284534
430	1718.732014
431	1718.435554
432	1718.138711
433	1717.795734
434	1717.65102
435	1717.197384
436	1716.892446
437	1716.338424
438	1716.061021
439	1715.757782
440	1715.480665
441	1715.303125
442	1715.021314
443	1714.593515
444	1714.343615
445	1714.048751
446	1713.651016
447	1713.430734
448	1713.133045
449	1712.871504
450	1712.716621
451	1712.419896
452	1712.213569
453	1711.891863
454	1711.48659
455	1711.259963
456	1711.12404
457	1710.805283
458	1710.54544
459	1710.22955
460	1710.035859
461	1709.79896
462	1709.529289
463	1709.245771
464	1709.051798
465	1708.748402
466	1708.542508
467	1708.31591
468	1708.095824
469	1707.841748
470	1707.644703
471	1707.382663
472	1707.176352
473	1706.965072
474	1706.705111
475	1706.427041
476	1706.235549
477	1705.989732
478	1705.7083
479	1705.385439
480	1705.215391
481	1704.809856
482	1704.583492
483	1704.315212
484	1704.161564
485	1703.815934
486	1703.556205
487	1703.235912
488	1702.972597
489	1702.774414
490	1702.626203
491	1702.391833
492	1702.186778
493	1701.975835
494	1701.413273
495	1701.137583
496	1700.932084
497	1700.798765
498	1700.647608
499	1700.388324
