iter	Passed	Remaining
0	65	32499
1	70	17481
2	75	12566
3	81	10137
4	86	8604
5	92	7646
6	98	6943
7	103	6368
8	110	6033
9	115	5678
10	121	5401
11	127	5204
12	132	4974
13	137	4779
14	143	4632
15	148	4500
16	153	4370
17	159	4273
18	164	4166
19	169	4074
20	176	4017
21	181	3936
22	186	3874
23	192	3825
24	198	3763
25	202	3698
26	208	3652
27	213	3593
28	218	3543
29	223	3500
30	228	3457
31	233	3412
32	238	3369
33	243	3333
34	248	3297
35	252	3259
36	258	3233
37	263	3197
38	267	3162
39	273	3140
40	277	3109
41	282	3077
42	286	3048
43	291	3024
44	296	2994
45	300	2966
46	305	2945
47	310	2919
48	314	2892
49	319	2872
50	324	2855
51	328	2830
52	333	2811
53	338	2796
54	342	2773
55	346	2749
56	352	2735
57	357	2723
58	361	2703
59	365	2682
60	370	2665
61	374	2647
62	379	2629
63	383	2609
64	388	2597
65	392	2579
66	397	2570
67	402	2559
68	407	2545
69	412	2531
70	416	2515
71	421	2504
72	425	2487
73	429	2473
74	433	2456
75	438	2444
76	442	2431
77	447	2420
78	451	2407
79	456	2395
80	460	2382
81	466	2375
82	470	2363
83	475	2354
84	480	2346
85	485	2338
86	490	2327
87	494	2316
88	498	2304
89	502	2290
90	506	2276
91	510	2264
92	514	2252
93	518	2239
94	522	2226
95	526	2215
96	530	2203
97	534	2191
98	538	2180
99	542	2168
100	546	2158
101	550	2148
102	554	2136
103	558	2126
104	562	2114
105	566	2103
106	569	2092
107	573	2082
108	577	2072
109	581	2062
110	585	2051
111	589	2041
112	593	2031
113	596	2020
114	600	2011
115	604	2002
116	608	1992
117	612	1984
118	617	1976
119	621	1968
120	625	1960
121	629	1950
122	633	1941
123	637	1933
124	641	1925
125	646	1919
126	650	1911
127	654	1902
128	660	1899
129	664	1892
130	670	1889
131	674	1881
132	679	1874
133	683	1867
134	688	1861
135	693	1854
136	696	1846
137	700	1838
138	704	1828
139	708	1820
140	711	1812
141	715	1803
142	719	1796
143	723	1788
144	727	1781
145	731	1774
146	735	1765
147	738	1756
148	742	1750
149	746	1741
150	750	1733
151	753	1725
152	758	1719
153	761	1711
154	765	1704
155	769	1697
156	773	1689
157	776	1681
158	780	1674
159	784	1667
160	788	1661
161	792	1653
162	796	1646
163	800	1640
164	805	1635
165	809	1628
166	813	1621
167	816	1614
168	820	1607
169	825	1601
170	829	1595
171	833	1589
172	837	1582
173	841	1576
174	844	1569
175	848	1562
176	852	1556
177	857	1550
178	861	1544
179	865	1538
180	869	1531
181	873	1526
182	878	1521
183	882	1515
184	887	1510
185	891	1504
186	895	1498
187	899	1492
188	903	1486
189	907	1480
190	911	1474
191	914	1467
192	918	1460
193	922	1455
194	926	1448
195	930	1442
196	933	1436
197	937	1430
198	941	1424
199	945	1418
200	949	1412
201	952	1405
202	957	1400
203	961	1394
204	964	1388
205	968	1382
206	972	1376
207	976	1371
208	980	1365
209	984	1359
210	988	1354
211	992	1348
212	997	1343
213	1000	1337
214	1005	1332
215	1008	1326
216	1012	1320
217	1016	1315
218	1020	1309
219	1024	1303
220	1028	1297
221	1032	1292
222	1035	1286
223	1039	1281
224	1043	1275
225	1049	1271
226	1053	1267
227	1057	1261
228	1062	1257
229	1067	1252
230	1070	1247
231	1075	1242
232	1080	1237
233	1084	1232
234	1088	1227
235	1093	1223
236	1098	1218
237	1102	1213
238	1106	1208
239	1111	1203
240	1115	1198
241	1119	1193
242	1123	1188
243	1128	1184
244	1132	1179
245	1136	1173
246	1140	1168
247	1145	1164
248	1149	1158
249	1153	1153
250	1158	1149
251	1163	1145
252	1167	1140
253	1172	1135
254	1178	1131
255	1181	1126
256	1185	1121
257	1189	1116
258	1195	1111
259	1199	1107
260	1204	1102
261	1208	1098
262	1213	1093
263	1217	1087
264	1221	1083
265	1226	1079
266	1231	1074
267	1234	1068
268	1239	1064
269	1244	1060
270	1249	1055
271	1253	1050
272	1258	1046
273	1263	1041
274	1267	1036
275	1271	1031
276	1276	1027
277	1280	1022
278	1284	1017
279	1288	1012
280	1294	1008
281	1298	1003
282	1302	998
283	1307	994
284	1311	989
285	1316	984
286	1320	980
287	1325	975
288	1330	971
289	1334	966
290	1338	961
291	1343	957
292	1347	952
293	1352	947
294	1357	943
295	1361	938
296	1365	933
297	1370	928
298	1375	924
299	1379	919
300	1383	914
301	1388	910
302	1393	905
303	1397	900
304	1401	896
305	1406	891
306	1410	886
307	1414	881
308	1419	877
309	1424	872
310	1428	867
311	1432	863
312	1436	858
313	1441	853
314	1445	849
315	1449	844
316	1454	839
317	1459	835
318	1463	830
319	1467	825
320	1471	820
321	1475	815
322	1479	810
323	1483	805
324	1489	801
325	1494	797
326	1498	792
327	1507	790
328	1515	787
329	1523	784
330	1529	781
331	1537	777
332	1559	782
333	1565	778
334	1572	774
335	1577	770
336	1583	765
337	1589	761
338	1593	756
339	1598	752
340	1602	747
341	1608	743
342	1614	739
343	1622	735
344	1628	731
345	1634	727
346	1641	723
347	1646	719
348	1651	714
349	1656	710
350	1662	705
351	1670	702
352	1676	698
353	1682	693
354	1687	689
355	1693	684
356	1698	680
357	1705	676
358	1709	671
359	1714	666
360	1720	662
361	1724	657
362	1730	653
